#ZVView-data-copy:  19-Jul-2023 15:44:36
#=======================================
#
#name:   INDEN-Oct2022: U-235(N,EL)U-235-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  16897
#data...
#            X            Y
#          MeV        barns
         1e-11      54.3081 
   1.11082e-11      51.6943 
   1.23386e-11       49.224 
   1.37059e-11      46.8881 
    1.5224e-11      44.6821 
   1.69111e-11       42.598 
   1.87842e-11      40.6317 
   2.08658e-11      38.7759 
    2.3177e-11      37.0271 
   2.57455e-11      35.3787 
   2.85971e-11      33.8275 
   3.17662e-11      32.3676 
   3.52847e-11       30.996 
   3.91949e-11      29.7076 
   4.35362e-11      28.4995 
   4.86996e-11      27.2945 
   5.44753e-11      26.1719 
    6.0936e-11      25.1278 
   6.81629e-11      24.1581 
    7.6247e-11      23.2592 
   8.58914e-11      22.3775 
   9.67511e-11      21.5679 
   1.08989e-10      20.8257 
   1.23635e-10      20.1094 
   1.40249e-10        19.46 
    1.6021e-10      18.8425 
   1.83021e-10      18.2892 
   2.10545e-10      17.7711 
   2.43904e-10      17.2919 
   2.84542e-10       16.854 
   3.34292e-10      16.4586 
   3.98262e-10      16.0926 
   4.81192e-10      15.7614 
   5.89562e-10       15.468 
   7.37698e-10       15.206 
   9.49283e-10      14.9731 
    1.26513e-9      14.7699 
    1.77075e-9      14.5946 
    2.63967e-9      14.4485 
    4.34062e-9      14.3278 
    8.42946e-9      14.2254 
    2.23187e-8      14.1131 
    2.52203e-8      14.0983 
       2.53e-8      14.0979 
    1.16495e-7      13.7727 
    2.25046e-7      13.4605 
    2.55287e-7      13.4283 
    3.34249e-7      13.5191 
    3.95441e-7      13.4544 
    6.27861e-7      13.0797 
    1.03244e-6      12.5672 
    1.05673e-6       12.557 
    1.08921e-6      12.5878 
     1.1224e-6      12.7095 
    1.16048e-6      12.9071 
    1.18385e-6      12.9679 
    1.19085e-6      12.9717 
    1.22977e-6      12.9118 
    1.30532e-6      12.7465 
    1.48073e-6      12.5187 
    1.88356e-6       12.126 
    1.96284e-6       11.983 
    1.99204e-6      11.9363 
    2.00644e-6      11.9603 
    2.02592e-6      12.0785 
    2.05106e-6      12.2769 
    2.06612e-6      12.3349 
    2.07189e-6      12.3412 
    2.10381e-6      12.2912 
    2.17279e-6      12.1596 
    2.34059e-6      11.9964 
    2.68408e-6      11.7293 
    2.78851e-6      11.6274 
    2.91694e-6       11.549 
    3.06652e-6      11.3949 
     3.0768e-6      11.3936 
    3.11048e-6      11.4358 
    3.14831e-6      11.5834 
    3.17869e-6      11.7103 
    3.20725e-6      11.7613 
    3.21179e-6      11.7623 
    3.24785e-6      11.7239 
    3.44701e-6      11.3013 
    3.52515e-6      11.0977 
    3.54023e-6      11.0832 
    3.55805e-6      11.1151 
    3.57449e-6      11.2188 
    3.59051e-6      11.4003 
     3.6274e-6        11.96 
    3.64295e-6      12.1316 
    3.65882e-6      12.2193 
    3.66588e-6      12.2313 
    3.68352e-6      12.2079 
    3.75584e-6      11.9119 
    3.80877e-6       11.761 
    3.89983e-6      11.5986 
    4.06723e-6      11.4127 
    4.48631e-6      11.0344 
     4.5958e-6      10.8883 
    4.66927e-6      10.7346 
    4.71091e-6      10.5964 
    4.75335e-6      10.3816 
    4.78147e-6      10.2469 
    4.78836e-6      10.2377 
    4.79897e-6      10.2617 
    4.80958e-6      10.3472 
    4.82072e-6       10.514 
    4.82762e-6      10.6558 
    4.83965e-6      10.9567 
    4.86157e-6      11.5378 
    4.87165e-6      11.7472 
    4.88013e-6      11.8729 
    4.89074e-6        11.96 
    4.90029e-6      11.9783 
    4.91727e-6      11.9119 
    4.96183e-6      11.5832 
    4.99086e-6      11.4259 
    5.02681e-6      11.2927 
    5.09577e-6      11.1278 
    5.19582e-6      10.9712 
    5.34175e-6       10.811 
    5.64916e-6      10.5785 
     5.7793e-6      10.4266 
     5.9086e-6      10.2078 
    6.00973e-6       9.9655 
    6.11883e-6      9.66528 
    6.20011e-6       9.5438 
    6.22703e-6      9.45477 
    6.24537e-6      9.34719 
    6.28891e-6       8.9845 
    6.30036e-6      8.93306 
    6.30266e-6      8.93076 
    6.31068e-6      8.95244 
    6.31755e-6      9.01716 
    6.32385e-6       9.1232 
    6.32958e-6       9.2647 
    6.33502e-6      9.44302 
    6.34018e-6      9.65367 
    6.34612e-6      9.94761 
    6.35272e-6      10.3359 
     6.3603e-6      10.8536 
     6.3714e-6      11.7116 
    6.38849e-6      13.0752 
    6.39587e-6      13.6016 
    6.40234e-6      14.0019 
    6.40893e-6      14.3365 
    6.41666e-6      14.6245 
    6.42239e-6      14.7625 
     6.4307e-6      14.8533 
    6.43328e-6      14.8571 
     6.4413e-6      14.8048 
    6.44989e-6      14.6604 
    6.46135e-6      14.3738 
    6.49007e-6      13.5245 
    6.50615e-6      13.1079 
    6.52322e-6       12.747 
    6.54384e-6      12.4084 
    6.56425e-6      12.1505 
    6.58968e-6      11.9009 
    6.62119e-6       11.662 
    6.65986e-6      11.4333 
    6.72857e-6      11.1195 
    6.87453e-6      10.5459 
    6.92243e-6      10.3095 
    6.97515e-6      9.99481 
    6.99741e-6       9.9025 
    7.00501e-6      9.89415 
    7.01652e-6      9.91783 
    7.02727e-6      9.99025 
    7.03725e-6      10.1086 
    7.04646e-6      10.2636 
    7.05797e-6      10.5146 
    7.07975e-6      11.0987 
    7.09789e-6      11.5753 
     7.1094e-6      11.8164 
    7.11861e-6      11.9587 
    7.13166e-6       12.077 
    7.13933e-6      12.1032 
    7.15468e-6      12.0772 
    7.17464e-6      11.9425 
    7.21916e-6      11.5582 
    7.25298e-6      11.3312 
    7.29898e-6      11.1127 
    7.36872e-6      10.8874 
    7.46823e-6      10.6664 
    7.79015e-6      10.1113 
    7.97214e-6      9.75957 
    8.10787e-6      9.43898 
    8.21378e-6      9.12333 
     8.2717e-6      8.91332 
    8.32855e-6      8.67118 
    8.37617e-6      8.43257 
     8.4206e-6       8.1724 
    8.46502e-6      7.86735 
    8.50945e-6      7.51023 
    8.58443e-6      6.83388 
    8.60109e-6      6.71272 
    8.61289e-6      6.65471 
     8.6233e-6       6.6344 
    8.63372e-6       6.6556 
    8.64234e-6      6.71524 
    8.65006e-6      6.80984 
    8.65778e-6      6.95171 
    8.66374e-6      7.09885 
     8.6697e-6      7.28321 
    8.67566e-6      7.50869 
    8.68162e-6      7.77889 
    8.68682e-6       8.0541 
    8.69203e-6      8.36757 
    8.69723e-6      8.72044 
    8.70244e-6      9.11327 
    8.70938e-6      9.69875 
    8.71633e-6      10.3521 
    8.72327e-6      11.0676 
    8.73021e-6      11.8367 
    8.74143e-6      13.1628 
    8.76191e-6      15.6508 
    8.77092e-6       16.678 
    8.77993e-6      17.6102 
    8.78797e-6      18.3364 
    8.79602e-6       18.945 
    8.80462e-6       19.454 
    8.81155e-6      19.7536 
     8.8201e-6      19.9904 
    8.82953e-6       20.092 
    8.83109e-6      20.0939 
     8.8393e-6      20.0415 
    8.84995e-6      19.8385 
     8.8638e-6      19.4073 
    8.88402e-6      18.5924 
    8.91271e-6       17.378 
    8.93581e-6      16.5113 
    8.95253e-6      15.9701 
    8.97057e-6      15.4626 
    8.99728e-6      14.8324 
    9.02381e-6      14.3144 
    9.05033e-6      13.8713 
    9.08571e-6       13.356 
    9.13923e-6       12.669 
    9.17193e-6      12.3109 
    9.19293e-6      12.1432 
    9.21228e-6      12.0671 
     9.2178e-6      12.0632 
    9.23383e-6      12.1026 
    9.24931e-6      12.2118 
    9.27044e-6      12.4507 
    9.30734e-6        12.92 
    9.32558e-6      13.0767 
    9.34327e-6      13.1486 
    9.35211e-6      13.1556 
     9.3698e-6      13.1209 
    9.40517e-6      12.9326 
    9.47812e-6      12.4732 
    9.53639e-6      12.1839 
    9.61267e-6      11.8898 
    9.67849e-6      11.7061 
    9.74614e-6      11.6081 
    9.83613e-6      11.5209 
    9.89888e-6      11.3836 
    9.99326e-6      11.0908 
    1.00697e-5      10.8256 
    1.00997e-5      10.7828 
    1.01238e-5      10.8157 
     1.0154e-5      10.9439 
    1.02011e-5      11.1875 
    1.02282e-5      11.2559 
    1.02372e-5      11.2625 
      1.027e-5      11.2337 
    1.04304e-5      10.8703 
    1.06894e-5      10.4164 
    1.08481e-5      10.2096 
    1.10232e-5      9.88461 
    1.11387e-5      9.61742 
    1.12244e-5      9.37006 
    1.12863e-5      9.14807 
    1.13355e-5      8.93109 
    1.13831e-5      8.66897 
    1.14194e-5      8.41722 
    1.14453e-5      8.19855 
    1.14713e-5      7.93946 
    1.15183e-5      7.41253 
     1.1529e-5      7.32153 
    1.15389e-5      7.27328 
    1.15439e-5      7.26766 
    1.15513e-5      7.28979 
    1.15587e-5      7.35736 
    1.15661e-5      7.48073 
     1.1571e-5       7.5991 
     1.1576e-5      7.74974 
    1.15809e-5      7.93524 
    1.15855e-5      8.13976 
    1.15918e-5      8.47589 
    1.15981e-5      8.87638 
    1.16051e-5      9.39953 
     1.1612e-5      9.98698 
    1.16184e-5      10.5906 
    1.16278e-5      11.5524 
    1.16515e-5       14.123 
    1.16615e-5      15.1116 
    1.16668e-5      15.5805 
    1.16747e-5      16.1847 
    1.16814e-5      16.5935 
    1.16886e-5      16.9209 
    1.16957e-5      17.1288 
    1.17035e-5      17.2213 
    1.17046e-5      17.2236 
    1.17113e-5      17.1838 
    1.17187e-5      17.0406 
    1.17276e-5      16.7538 
    1.17383e-5      16.2864 
     1.1751e-5      15.6243 
    1.17765e-5      14.2469 
    1.17898e-5      13.6037 
    1.18032e-5      13.0443 
    1.18144e-5       12.639 
    1.18256e-5      12.2888 
    1.18417e-5       11.869 
    1.18577e-5      11.5238 
     1.1875e-5      11.2129 
    1.19022e-5      10.8103 
    1.19318e-5      10.4457 
    1.19695e-5      10.0441 
    1.20681e-5      9.08773 
    1.21298e-5      8.44768 
    1.21721e-5      7.98266 
    1.21924e-5      7.78426 
    1.22056e-5      7.68844 
    1.22166e-5      7.64751 
    1.22188e-5      7.64532 
    1.22276e-5      7.66282 
    1.22364e-5      7.73344 
     1.2243e-5      7.83164 
    1.22496e-5      7.97805 
    1.22562e-5      8.18222 
    1.22611e-5       8.3746 
    1.22664e-5      8.63124 
    1.22717e-5      8.94213 
    1.22769e-5      9.31286 
    1.22816e-5      9.69054 
    1.22855e-5      10.0565 
    1.22895e-5      10.4634 
    1.22935e-5      10.9129 
    1.22977e-5      11.4388 
    1.23021e-5      12.0511 
    1.23066e-5      12.7207 
    1.23111e-5      13.4473 
    1.23178e-5      14.6529 
    1.23246e-5      15.9839 
    1.23314e-5      17.4205 
    1.23399e-5       19.329 
    1.23618e-5      24.4801 
    1.23716e-5       26.672 
     1.2379e-5      28.1649 
    1.23854e-5      29.3179 
    1.23916e-5      30.2763 
    1.23977e-5      31.0738 
     1.2403e-5      31.6217 
    1.24098e-5      32.1299 
    1.24166e-5      32.4154 
    1.24226e-5       32.486 
    1.24299e-5      32.3523 
    1.24373e-5      31.9983 
    1.24446e-5       31.457 
    1.24517e-5      30.7685 
    1.24624e-5      29.5382 
    1.24775e-5      27.5349 
    1.24974e-5      24.8522 
    1.25103e-5      23.2375 
    1.25208e-5      22.0534 
    1.25313e-5      20.9957 
    1.25424e-5      20.0186 
    1.25534e-5      19.1712 
    1.25638e-5      18.4828 
    1.25741e-5      17.8827 
    1.25897e-5      17.1204 
    1.26062e-5      16.4541 
    1.26231e-5      15.8898 
    1.26397e-5      15.4214 
    1.26573e-5      14.9974 
     1.2675e-5      14.6319 
     1.2704e-5       14.129 
    1.27296e-5      13.7653 
    1.27612e-5      13.4099 
     1.2787e-5      13.1922 
    1.28186e-5      13.0117 
    1.28666e-5      12.8635 
    1.29178e-5      12.7233 
    1.29752e-5        12.47 
    1.30901e-5      11.8882 
    1.31534e-5       11.631 
    1.32051e-5      11.4872 
    1.32694e-5      11.4095 
    1.33402e-5      11.3443 
    1.33866e-5       11.241 
    1.34709e-5      10.9522 
    1.35405e-5      10.7099 
    1.35935e-5       10.585 
    1.36344e-5      10.5481 
    1.36923e-5       10.579 
    1.38808e-5      10.8068 
    1.39324e-5      10.9404 
    1.39873e-5      11.1572 
    1.40634e-5      11.4805 
    1.41141e-5       11.616 
    1.41488e-5      11.6522 
    1.41975e-5      11.6335 
    1.42618e-5      11.5207 
    1.43468e-5      11.2778 
    1.44199e-5      11.0269 
    1.44475e-5      10.9794 
    1.44686e-5      11.0022 
    1.44913e-5      11.1098 
    1.45165e-5      11.3332 
    1.45643e-5      11.8741 
    1.45864e-5      12.0467 
    1.46042e-5      12.1106 
    1.46123e-5      12.1166 
    1.46367e-5      12.0616 
    1.46789e-5      11.8233 
    1.47263e-5      11.5496 
    1.47689e-5      11.3648 
    1.48569e-5      11.0949 
    1.51031e-5      10.5029 
    1.51843e-5       10.238 
    1.52541e-5      9.96434 
    1.52829e-5      9.88468 
    1.52966e-5      9.86969 
    1.53195e-5      9.89759 
    1.53367e-5       9.9741 
    1.53528e-5      10.0942 
      1.537e-5      10.2733 
    1.53965e-5      10.6244 
    1.54307e-5       11.094 
    1.54497e-5      11.2971 
    1.54674e-5      11.4251 
    1.54846e-5      11.4855 
    1.54939e-5      11.4936 
    1.55133e-5      11.4637 
    1.55477e-5      11.3069 
    1.56188e-5      10.8901 
    1.56875e-5      10.5584 
    1.58163e-5      9.99693 
     1.5873e-5      9.68284 
    1.59432e-5      9.22485 
    1.59595e-5      9.15905 
    1.59704e-5      9.14438 
    1.59861e-5      9.18349 
    1.59964e-5       9.2578 
    1.60079e-5       9.3958 
    1.60182e-5      9.57071 
    1.60304e-5      9.84278 
    1.60413e-5      10.1409 
    1.60586e-5      10.6954 
    1.60885e-5      11.7177 
    1.61034e-5      12.1587 
    1.61175e-5      12.4842 
    1.61291e-5      12.6678 
    1.61406e-5      12.7744 
    1.61532e-5      12.8069 
     1.6165e-5      12.7681 
    1.61778e-5      12.6653 
    1.61945e-5      12.4676 
    1.62483e-5      11.7117 
     1.6278e-5      11.3684 
     1.6305e-5       11.116 
    1.63499e-5      10.7834 
    1.64431e-5      10.2267 
    1.64891e-5      9.98344 
    1.65197e-5      9.86305 
    1.65427e-5      9.82153 
    1.65504e-5      9.82089 
    1.65734e-5      9.86761 
    1.65949e-5       9.9832 
    1.66087e-5      10.0933 
    1.66395e-5       10.414 
    1.66746e-5       10.816 
    1.66976e-5      11.0354 
    1.67207e-5      11.1886 
    1.67452e-5      11.2713 
    1.67605e-5      11.2849 
    1.67912e-5      11.2469 
    1.68495e-5       11.061 
    1.69507e-5      10.7308 
    1.70703e-5      10.4386 
     1.7334e-5      9.93518 
    1.75408e-5      9.52672 
    1.76544e-5      9.24269 
    1.77282e-5      9.00723 
    1.78016e-5      8.71473 
     1.7862e-5      8.45541 
    1.78877e-5      8.37439 
    1.79123e-5      8.34325 
    1.79304e-5      8.36458 
    1.79494e-5      8.43873 
    1.79629e-5      8.52806 
      1.798e-5      8.68372 
    1.80018e-5       8.9445 
    1.80598e-5      9.76966 
    1.80785e-5       9.9966 
    1.80955e-5      10.1587 
    1.81143e-5      10.2835 
    1.81346e-5      10.3535 
    1.81478e-5      10.3661 
    1.81736e-5      10.3313 
     1.8207e-5      10.2077 
    1.83427e-5      9.52763 
    1.84525e-5      9.05907 
    1.85891e-5      8.50116 
    1.86806e-5      8.09207 
    1.87611e-5      7.68116 
     1.8853e-5       7.1437 
    1.89126e-5      6.79989 
    1.89699e-5      6.52038 
    1.90096e-5      6.35844 
    1.90264e-5      6.31426 
    1.90402e-5       6.3052 
    1.90505e-5       6.3248 
    1.90623e-5       6.3879 
    1.90706e-5      6.46795 
    1.90784e-5      6.57656 
    1.90862e-5      6.72537 
    1.90939e-5      6.92217 
    1.90997e-5      7.10685 
    1.91058e-5      7.34047 
    1.91112e-5      7.58296 
    1.91166e-5      7.86415 
    1.91225e-5      8.22659 
    1.91288e-5      8.66943 
    1.91351e-5      9.18213 
    1.91409e-5      9.72493 
    1.91467e-5      10.3375 
    1.91525e-5      11.0252 
    1.91583e-5       11.793 
    1.91641e-5      12.6424 
    1.91702e-5      13.6222 
    1.91765e-5      14.7212 
    1.91827e-5      15.9182 
    1.91905e-5      17.5396 
    1.91982e-5      19.3021 
    1.92057e-5      21.1209 
    1.92149e-5      23.4992 
    1.92287e-5      27.2716 
    1.92493e-5      33.0186 
    1.92584e-5      35.4466 
    1.92673e-5      37.6585 
    1.92762e-5       39.661 
    1.92855e-5       41.474 
    1.92926e-5      42.6407 
    1.93016e-5      43.8064 
    1.93089e-5      44.5031 
    1.93177e-5      45.0131 
    1.93266e-5      45.1774 
    1.93357e-5      44.9957 
    1.93444e-5      44.5101 
    1.93529e-5      43.7813 
    1.93612e-5      42.8581 
    1.93733e-5      41.2052 
    1.93864e-5      39.1442 
    1.94245e-5      32.6735 
    1.94371e-5      30.6845 
    1.94505e-5      28.7515 
    1.94636e-5       27.038 
    1.94758e-5      25.6381 
    1.94879e-5      24.4011 
    1.95006e-5      23.2687 
     1.9514e-5      22.2263 
    1.95223e-5      21.6563 
    1.95385e-5      20.6692 
    1.95519e-5      19.9595 
    1.95722e-5      19.0442 
    1.95924e-5      18.2677 
    1.96126e-5      17.5977 
    1.96328e-5      17.0127 
    1.96598e-5      16.3404 
    1.96854e-5      15.7957 
     1.9711e-5      15.3258 
    1.97405e-5      14.8604 
    1.97724e-5       14.427 
    1.98219e-5      13.8644 
    1.98724e-5      13.3886 
     1.9923e-5      12.9825 
    1.99939e-5      12.4931 
    2.00492e-5      12.1706 
    2.00989e-5      11.9518 
    2.01486e-5       11.827 
    2.02287e-5      11.6962 
    2.02691e-5      11.5597 
    2.03136e-5      11.3316 
    2.04786e-5      10.3136 
    2.05158e-5      10.1326 
    2.05385e-5      10.0635 
    2.05596e-5      10.0405 
     2.0586e-5       10.075 
    2.06524e-5      10.3187 
    2.06728e-5      10.3482 
    2.06917e-5      10.3227 
    2.07128e-5      10.2259 
    2.07355e-5      10.0465 
    2.07551e-5      9.83949 
    2.07898e-5      9.39791 
    2.08403e-5      8.70845 
    2.08594e-5      8.48379 
     2.0872e-5      8.36828 
    2.08853e-5      8.29316 
    2.08924e-5      8.28021 
    2.09029e-5      8.30566 
    2.09102e-5      8.36133 
    2.09177e-5      8.45801 
    2.09253e-5      8.60017 
    2.09328e-5      8.79363 
    2.09394e-5      9.00935 
    2.09479e-5      9.35607 
    2.09536e-5      9.63328 
    2.09614e-5      10.0765 
    2.09677e-5       10.492 
     2.0974e-5      10.9569 
    2.09816e-5      11.5813 
    2.09889e-5      12.2388 
    2.09989e-5      13.2332 
    2.10088e-5      14.3142 
    2.10271e-5      16.4321 
    2.10421e-5      18.1763 
    2.10526e-5      19.3329 
    2.10614e-5      20.2291 
    2.10691e-5      20.9336 
    2.10772e-5      21.5814 
    2.10866e-5      22.2075 
    2.10947e-5      22.6224 
    2.11028e-5      22.9193 
    2.11111e-5      23.1014 
    2.11194e-5      23.1633 
    2.11278e-5      23.1127 
    2.11361e-5      22.9599 
    2.11486e-5      22.5672 
     2.1161e-5      22.0213 
    2.11694e-5      21.5968 
    2.12126e-5      19.1372 
    2.12292e-5      18.2571 
    2.12459e-5      17.4728 
    2.12625e-5      16.7928 
    2.12775e-5      16.2664 
    2.12924e-5      15.8127 
     2.1313e-5      15.2894 
    2.13336e-5      14.8595 
    2.13565e-5      14.4654 
    2.13794e-5      14.1375 
    2.14168e-5      13.7032 
    2.14542e-5      13.3577 
    2.14958e-5      13.0448 
    2.15605e-5      12.6579 
    2.16297e-5      12.3317 
    2.17115e-5      12.0203 
    2.18174e-5       11.691 
    2.19937e-5      11.2439 
    2.23472e-5      10.4512 
    2.24824e-5      10.0928 
    2.25727e-5      9.79375 
    2.26294e-5       9.5589 
    2.26796e-5      9.30136 
     2.2768e-5      8.74767 
    2.27864e-5      8.65641 
    2.28079e-5       8.5997 
    2.28131e-5      8.59724 
    2.28288e-5      8.62416 
    2.28426e-5      8.69687 
    2.28565e-5      8.82083 
    2.28703e-5      8.99752 
    2.28841e-5       9.2238 
    2.29025e-5       9.5879 
    2.29444e-5      10.5024 
    2.29596e-5      10.7883 
    2.29735e-5      10.9976 
    2.29854e-5      11.1317 
    2.29993e-5      11.2267 
    2.30131e-5      11.2577 
    2.30269e-5      11.2289 
     2.3043e-5      11.1301 
    2.30637e-5      10.9239 
    2.30886e-5      10.6022 
    2.32071e-5      8.85467 
     2.3228e-5      8.58457 
    2.32423e-5      8.43537 
    2.32567e-5      8.33547 
    2.32691e-5      8.30513 
    2.32785e-5      8.32644 
    2.32882e-5      8.39601 
    2.32984e-5      8.52797 
    2.33093e-5      8.74016 
    2.33193e-5      9.00774 
    2.33298e-5      9.35627 
    2.33403e-5       9.7756 
    2.33506e-5      10.2432 
    2.33666e-5      11.0539 
    2.33933e-5      12.4659 
    2.34057e-5      13.0677 
    2.34142e-5      13.4358 
     2.3424e-5      13.8039 
    2.34363e-5       14.164 
    2.34486e-5      14.4047 
    2.34609e-5      14.5284 
    2.34691e-5       14.551 
    2.34814e-5      14.5084 
    2.34954e-5      14.3748 
    2.35404e-5      13.7365 
     2.3557e-5      13.5537 
    2.35778e-5      13.4211 
    2.35952e-5       13.391 
    2.36223e-5      13.4526 
    2.36639e-5      13.6333 
    2.36908e-5       13.704 
    2.37014e-5      13.7111 
    2.37344e-5      13.6517 
    2.37569e-5      13.5474 
    2.37929e-5      13.3045 
     2.3963e-5      11.8567 
     2.4071e-5      10.8814 
    2.40962e-5      10.7059 
    2.41151e-5      10.6278 
    2.41295e-5      10.6123 
    2.41457e-5      10.6501 
    2.41601e-5       10.738 
    2.41745e-5      10.8782 
    2.41902e-5      11.0859 
    2.42144e-5      11.4899 
    2.42555e-5      12.2365 
    2.42744e-5      12.5227 
    2.42888e-5      12.6931 
    2.43059e-5      12.8337 
    2.43239e-5      12.9093 
    2.43329e-5      12.9215 
    2.43558e-5      12.8887 
    2.43796e-5      12.7851 
     2.4476e-5      12.2046 
    2.45213e-5      11.9867 
    2.45871e-5      11.7393 
    2.46942e-5      11.4394 
    2.48275e-5      11.1576 
    2.49971e-5       10.882 
    2.51226e-5      10.7365 
    2.52298e-5       10.677 
    2.52423e-5       10.676 
    2.53055e-5      10.6962 
    2.53667e-5      10.7626 
    2.54394e-5      10.9063 
    2.55141e-5       11.122 
    2.56694e-5        11.68 
    2.57373e-5      11.8631 
     2.5788e-5      11.9298 
     2.5805e-5      11.9362 
    2.58603e-5       11.901 
     2.5918e-5      11.7796 
     2.5986e-5      11.5482 
     2.6062e-5      11.2115 
    2.62328e-5      10.3543 
    2.62763e-5      10.1862 
    2.63088e-5      10.1087 
    2.63306e-5      10.0902 
    2.63643e-5      10.1286 
    2.63891e-5      10.2152 
    2.64139e-5      10.3514 
    2.64554e-5      10.6677 
    2.65243e-5      11.2513 
    2.65622e-5      11.4874 
    2.65901e-5      11.5967 
    2.66226e-5      11.6568 
    2.66435e-5      11.6634 
    2.67016e-5      11.5965 
    2.68824e-5      11.1677 
    2.70009e-5      10.8798 
    2.70558e-5      10.7972 
    2.70858e-5      10.7844 
    2.71956e-5      10.8396 
    2.72437e-5      10.8017 
       2.73e-5      10.6751 
    2.73951e-5      10.3635 
    2.74817e-5       10.019 
    2.75951e-5      9.46834 
    2.76264e-5      9.36566 
    2.76427e-5      9.34659 
    2.76647e-5      9.37642 
    2.76846e-5      9.47209 
    2.76972e-5       9.5707 
    2.77129e-5      9.73679 
    2.77318e-5      9.99703 
    2.77527e-5      10.3487 
    2.78069e-5      11.3695 
    2.78313e-5       11.765 
    2.78448e-5      11.9405 
    2.78636e-5      12.1284 
    2.78813e-5      12.2405 
    2.78968e-5      12.2906 
    2.79064e-5      12.3012 
    2.79285e-5      12.2757 
    2.79654e-5      12.1252 
    2.80817e-5      11.4416 
    2.81382e-5      11.1695 
    2.81948e-5      10.9634 
    2.82323e-5       10.876 
    2.82681e-5      10.8458 
    2.83088e-5      10.8872 
    2.83693e-5      11.0623 
    2.84206e-5      11.2022 
    2.84587e-5      11.2354 
    2.85063e-5      11.1839 
    2.86093e-5      10.9663 
    2.87074e-5      10.8561 
    2.88278e-5      10.7271 
    2.93012e-5      10.0056 
    2.94085e-5      9.78489 
     2.9487e-5      9.59915 
    2.95262e-5      9.55507 
    2.95292e-5      9.55495 
    2.95594e-5      9.58872 
    2.95876e-5      9.68373 
    2.96198e-5      9.85884 
    2.96768e-5       10.213 
