#ZVView-data-copy:  19-Jul-2023 16:26:13
#=======================================
#
#name:   ENDF/B-VIII.0: U-238(N,EL)U-238-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  53542
#data...
#            X            Y
#          MeV        barns
         1e-11      35.1459 
   1.11082e-11      33.4556 
   1.23386e-11      31.8583 
   1.37059e-11      30.3478 
    1.5224e-11      28.9216 
   1.69111e-11      27.5741 
   1.87842e-11       26.303 
   2.08659e-11      25.1033 
    2.3177e-11      23.9729 
   2.57455e-11      22.9075 
   2.85971e-11       21.905 
   3.17662e-11      20.9616 
   3.52847e-11      20.0754 
   3.91949e-11       19.243 
   4.38434e-11      18.4122 
   4.90432e-11      17.6373 
   5.48596e-11      16.9157 
   6.13659e-11      16.2446 
   6.86438e-11      15.6216 
   7.67849e-11      15.0443 
   8.64931e-11      14.4784 
   9.74336e-11      13.9586 
   1.09752e-10      13.4827 
   1.24501e-10      13.0234 
   1.41231e-10      12.6072 
   1.61341e-10      12.2115 
   1.85604e-10      11.8398 
   2.13516e-10      11.5103 
   2.47345e-10      11.2058 
   2.88556e-10      10.9278 
   3.41383e-10      10.6669 
   4.06731e-10      10.4364 
   4.91398e-10       10.228 
   6.06315e-10      10.0378 
   7.64012e-10      9.86973 
   9.90031e-10      9.72219 
    1.32867e-9      9.59506 
    1.87281e-9      9.48703 
     2.8312e-9      9.39767 
    4.78787e-9      9.32614 
    9.71379e-9      9.27316 
    2.52419e-8      9.23973 
       2.53e-8      9.23968 
    2.62541e-7      9.18844 
    1.80218e-6      8.93309 
    2.80184e-6      8.70944 
    3.53057e-6      8.48775 
    4.06151e-6      8.26975 
    4.46823e-6      8.04765 
    4.76615e-6      7.83608 
    5.00556e-6      7.62024 
    5.22042e-6      7.37495 
    5.36876e-6      7.16494 
    5.48291e-6      6.97238 
    5.59921e-6      6.73954 
     5.6782e-6      6.55442 
    5.75831e-6       6.3384 
    5.83955e-6      6.08285 
    5.90134e-6      5.85773 
    5.96371e-6      5.59693 
    6.02667e-6      5.29147 
    6.06903e-6      5.05657 
    6.11169e-6      4.79106 
    6.14391e-6      4.56809 
    6.17613e-6      4.32279 
    6.20881e-6      4.04792 
    6.24148e-6      3.74291 
    6.26327e-6      3.52071 
    6.28536e-6      3.27835 
    6.30745e-6      3.01748 
    6.32954e-6      2.73688 
    6.35163e-6      2.43575 
    6.37279e-6      2.12832 
    6.39394e-6      1.80417 
      6.433e-6      1.18468 
