#ZVView-data-copy:  19-Jul-2023 15:47:15
#=======================================
#
#name:   INDEN-Oct2022: U-235(N,G)U-236
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  49105
#data...
#            X            Y
#          MeV        barns
         1e-11      5458.03 
   1.10304e-11      5196.87 
   1.21669e-11       4948.2 
   1.34206e-11      4711.44 
   1.48034e-11         4486 
   1.63287e-11      4271.35 
   1.80111e-11      4066.98 
   1.98669e-11      3872.38 
   2.19139e-11      3687.09 
   2.41719e-11      3510.68 
   2.66625e-11       3342.7 
   2.94097e-11      3182.77 
     3.244e-11      3030.48 
   3.57825e-11      2885.49 
   3.94694e-11      2747.43 
   4.35362e-11      2615.98 
   4.80221e-11      2490.83 
   5.29701e-11      2371.66 
    5.8428e-11      2258.19 
   6.44483e-11      2150.16 
   7.10888e-11      2047.29 
   7.84136e-11      1949.35 
   8.64931e-11       1856.1 
   9.54051e-11      1767.31 
   1.05235e-10      1682.77 
   1.16078e-10      1602.28 
   1.28039e-10      1525.64 
   1.41231e-10      1452.67 
   1.55784e-10      1383.19 
   1.71835e-10      1317.04 
    1.8954e-10      1254.05 
    2.0907e-10      1194.08 
   2.30612e-10      1136.99 
   2.54374e-10      1082.62 
   2.80584e-10      1030.86 
   3.09494e-10      981.581 
   3.41383e-10       934.66 
   3.76558e-10      889.987 
   4.15358e-10      847.453 
   4.58155e-10      806.957 
   5.05362e-10      768.401 
   5.57433e-10      731.693 
   6.14869e-10      696.744 
   6.78223e-10      663.469 
   7.48105e-10       631.79 
   8.25188e-10      601.628 
   9.10213e-10      572.913 
      1.004e-9      545.574 
    1.10745e-9      519.545 
    1.22155e-9      494.764 
    1.34742e-9      471.171 
    1.48625e-9      448.709 
    1.63939e-9      427.322 
    1.80831e-9      406.959 
    1.99463e-9       387.57 
    2.20016e-9      369.108 
    2.42685e-9      351.527 
    2.67691e-9      334.784 
    2.95273e-9      318.836 
    3.25697e-9      303.644 
    3.59256e-9      289.169 
    3.96272e-9      275.371 
    4.37103e-9      262.212 
    4.82141e-9      249.655 
    5.31819e-9      237.662 
    5.86616e-9      226.198 
    6.47059e-9      215.226 
     7.1373e-9      204.715 
     7.8979e-9      194.309 
    8.73014e-9      184.426 
    9.69712e-9      174.464 
    1.06963e-8        165.5 
    1.17984e-8      156.833 
    1.30141e-8      148.448 
     1.4355e-8      140.336 
    1.58341e-8      132.502 
    1.73441e-8      125.484 
    1.89972e-8      118.737 
    2.08088e-8      112.271 
    2.27921e-8      106.108 
    2.47908e-8      100.688 
    2.52203e-8       99.614 
       2.53e-8      99.4178 
    2.75186e-8      94.3338 
    2.99317e-8      89.5233 
    3.25565e-8      84.9801 
    3.54114e-8      80.6926 
    3.85167e-8      76.6491 
    4.18943e-8      72.8339 
    4.55681e-8      69.2299 
     4.9564e-8      65.8268 
    5.39104e-8      62.6147 
    5.86379e-8      59.5829 
    6.37799e-8      56.7179 
    6.93729e-8      54.0155 
    7.54563e-8      51.4717 
    8.20732e-8      49.0866 
    8.92703e-8      46.8595 
    9.70986e-8      44.7975 
    1.05613e-7      42.9133 
    1.14875e-7      41.2208 
    1.24079e-7      39.8493 
    1.34014e-7      38.6835 
    1.43738e-7      37.8312 
    1.53096e-7      37.2664 
    1.63054e-7      36.9306 
    1.70206e-7      36.8573 
    1.80016e-7      36.9919 
    1.89068e-7       37.358 
    1.98564e-7      37.9942 
    2.08549e-7      38.9391 
    2.19024e-7       40.213 
    2.33282e-7      42.2894 
    2.50209e-7       44.815 
    2.59121e-7      45.8644 
    2.66484e-7      46.4193 
    2.73059e-7      46.5924 
    2.77776e-7      46.4993 
    2.83682e-7      46.1097 
    2.89699e-7      45.3998 
    2.95858e-7      44.3642 
    3.02134e-7      43.0263 
    3.08558e-7        41.42 
    3.19549e-7      38.3183 
    3.37967e-7      32.8913 
     3.4757e-7      30.2431 
     3.5496e-7      28.3601 
     3.6249e-7      26.5969 
    3.70197e-7      24.9565 
    3.78049e-7      23.4495 
    3.86087e-7      22.0666 
    3.94277e-7      20.8089 
     4.0266e-7      19.6622 
    4.11201e-7      18.6223 
    4.19944e-7      17.6748 
    4.28852e-7      16.8149 
     4.3797e-7      16.0305 
     4.4726e-7      15.3166 
    4.56769e-7      14.6625 
    4.69749e-7      13.8758 
    4.83097e-7      13.1734 
    4.96824e-7      12.5434 
    5.10942e-7      11.9758 
     5.2546e-7      11.4625 
    5.44177e-7      10.8876 
    5.63588e-7      10.3753 
    5.83662e-7      9.91889 
    6.04481e-7       9.5103 
    6.26013e-7      9.14611 
    6.48342e-7       8.8219 
    6.76172e-7      8.48364 
    7.00257e-7      8.24322 
    7.25235e-7      8.04143 
    7.51067e-7      7.88211 
    7.77858e-7      7.77061 
    7.99961e-7      7.72231 
    8.13238e-7      7.71405 
    8.34091e-7      7.73606 
    8.51783e-7      7.79273 
    8.69894e-7      7.89304 
    8.88346e-7      8.04762 
    9.00879e-7      8.18863 
    9.13588e-7      8.36681 
    9.26477e-7      8.58993 
    9.39548e-7       8.8681 
    9.52804e-7      9.21434 
    9.62885e-7      9.52922 
    9.73062e-7      9.90053 
    9.83334e-7      10.3393 
    9.93702e-7      10.8589 
    1.00071e-6      11.2609 
    1.00772e-6      11.7097 
    1.01483e-6      12.2184 
    1.02194e-6      12.7878 
    1.02915e-6      13.4344 
    1.03636e-6      14.1589 
    1.04367e-6      14.9815 
    1.05098e-6      15.9014 
    1.05839e-6      16.9415 
    1.06581e-6      18.0955 
    1.07332e-6      19.3844 
    1.08084e-6      20.7885 
    1.08847e-6       22.316 
    1.11155e-6      27.2106 
    1.11863e-6      28.6051 
    1.12568e-6      29.8296 
     1.1323e-6      30.7652 
    1.13829e-6      31.3838 
    1.14429e-6      31.7529 
    1.14959e-6      31.8539 
    1.15365e-6       31.784 
    1.15973e-6      31.4428 
    1.16581e-6       30.834 
    1.17198e-6      29.9734 
    1.17815e-6      28.9092 
    1.18643e-6      27.2428 
    1.19894e-6       24.445 
    1.21163e-6      21.5659 
    1.22014e-6      19.7309 
    1.22871e-6      18.0126 
    1.23518e-6      16.8161 
     1.2417e-6      15.6978 
    1.24822e-6      14.6695 
    1.25555e-6      13.6183 
     1.2628e-6      12.6821 
    1.26844e-6      12.0209 
    1.27408e-6      11.4144 
    1.28082e-6      10.7557 
    1.28756e-6      10.1637 
    1.29433e-6      9.62949 
    1.30117e-6      9.14572 
      1.308e-6      8.71155 
     1.3149e-6      8.31779 
    1.31952e-6       8.0764 
    1.32877e-6      7.64087 
    1.33814e-6       7.2549 
    1.34751e-6      6.91606 
    1.35702e-6      6.61296 
    1.36652e-6      6.34431 
    1.37616e-6      6.10174 
    1.39069e-6      5.78347 
    1.40535e-6      5.50944 
    1.42022e-6      5.27064 
    1.43523e-6      5.06215 
    1.45039e-6       4.8791 
    1.46568e-6      4.71761 
    1.48636e-6      4.53001 
    1.50733e-6      4.36949 
    1.52859e-6      4.23186 
    1.55016e-6      4.11402 
    1.57203e-6      4.01373 
    1.59421e-6       3.9295 
     1.6167e-6       3.8605 
    1.63951e-6      3.80655 
    1.66264e-6      3.76822 
    1.69238e-6      3.74447 
    1.69866e-6      3.74344 
    1.72262e-6      3.75394 
    1.74085e-6      3.77939 
    1.75925e-6      3.82367 
    1.77782e-6      3.89178 
    1.79656e-6        3.991 
    1.80924e-6      4.08022 
    1.82191e-6      4.19208 
    1.83476e-6      4.33446 
     1.8444e-6      4.46508 
    1.85399e-6      4.62022 
    1.86356e-6      4.80575 
    1.87312e-6      5.02966 
    1.88095e-6      5.24833 
    1.88877e-6      5.50669 
    1.89399e-6      5.70556 
    1.90094e-6       6.0108 
    1.90558e-6       6.2444 
    1.91022e-6      6.50649 
    1.91515e-6      6.82139 
    1.92036e-6      7.20312 
    1.92427e-6      7.52782 
    1.92819e-6        7.891 
     1.9321e-6      8.29867 
    1.93598e-6      8.75396 
    1.93984e-6      9.26598 
    1.94371e-6      9.84608 
    1.94757e-6      10.5055 
    1.95015e-6      10.9955 
    1.95272e-6      11.5308 
    1.95622e-6      12.3376 
    1.95953e-6       13.198 
    1.96284e-6      14.1641 
    1.96614e-6      15.2481 
    1.96945e-6      16.4626 
    1.97166e-6      17.3506 
    1.97465e-6       18.662 
    1.97764e-6       20.103 
    1.98063e-6      21.6787 
    1.98362e-6      23.3917 
    1.98643e-6      25.1218 
    1.98923e-6      26.9674 
    1.99344e-6      29.9332 
    1.99876e-6      33.9472 
    2.00875e-6      41.7481 
    2.01223e-6      44.3118 
    2.01571e-6      46.6743 
    2.01919e-6      48.7563 
    2.02185e-6       50.116 
    2.02452e-6      51.2365 
    2.02719e-6      52.0921 
    2.02986e-6      52.6627 
    2.03266e-6      52.9405 
    2.03358e-6      52.9584 
    2.03636e-6      52.7917 
    2.03965e-6      52.1705 
    2.04295e-6      51.1122 
    2.04566e-6      49.9402 
    2.04838e-6      48.5255 
    2.05199e-6      46.3177 
    2.05561e-6      43.8202 
    2.06047e-6      40.1646 
    2.07106e-6      31.8951 
    2.07541e-6       28.687 
    2.07831e-6      26.6693 
    2.08121e-6      24.7651 
     2.0841e-6      22.9831 
      2.087e-6      21.3276 
     2.0899e-6      19.7995 
     2.0928e-6      18.3964 
    2.09562e-6      17.1446 
    2.09845e-6      16.0017 
    2.10128e-6       14.961 
     2.1041e-6      14.0152 
    2.10693e-6      13.1568 
    2.10917e-6      12.5318 
    2.11178e-6      11.8645 
    2.11439e-6      11.2546 
      2.117e-6       10.697 
    2.11961e-6      10.1868 
    2.12221e-6      9.71945 
    2.12613e-6       9.0899 
    2.12989e-6      8.55457 
    2.13337e-6       8.1138 
    2.13685e-6      7.71762 
    2.14033e-6      7.36045 
    2.14497e-6      6.93671 
    2.14989e-6      6.54252 
    2.15511e-6       6.1779 
    2.16033e-6      5.85873 
    2.16554e-6      5.57777 
    2.17059e-6      5.33653 
    2.17548e-6      5.12788 
    2.18281e-6      4.85335 
    2.19018e-6      4.61604 
    2.19763e-6      4.40847 
    2.20508e-6       4.2277 
    2.21146e-6      4.09086 
    2.21924e-6      3.94263 
    2.22703e-6        3.812 
    2.23871e-6      3.64327 
    2.25055e-6      3.49917 
     2.2624e-6      3.37679 
    2.27029e-6      3.30518 
    2.28631e-6      3.17995 
    2.30232e-6      3.07648 
    2.32384e-6      2.96381 
    2.34548e-6      2.87384 
     2.3672e-6      2.80177 
    2.38891e-6      2.74415 
    2.41419e-6      2.69191 
     2.4397e-6      2.65278 
    2.47412e-6      2.61896 
    2.50387e-6      2.60638 
     2.5163e-6      2.60585 
    2.54292e-6       2.6151 
     2.5698e-6      2.64149 
     2.5878e-6      2.67144 
    2.60605e-6      2.71504 
    2.62431e-6      2.77619 
    2.63819e-6      2.83815 
    2.65208e-6      2.91727 
    2.66602e-6       3.0181 
     2.6801e-6       3.1454 
    2.69418e-6      3.29999 
    2.71326e-6      3.54484 
    2.73162e-6      3.78649 
    2.74356e-6      3.91957 
    2.75364e-6      4.00213 
    2.76082e-6      4.03983 
    2.77037e-6      4.06047 
    2.77155e-6      4.06069 
    2.77749e-6      4.05448 
    2.78699e-6       4.0218 
    2.79753e-6      3.96094 
    2.82697e-6      3.75299 
    2.83831e-6      3.69059 
    2.84838e-6      3.65207 
    2.85845e-6      3.63112 
    2.86516e-6      3.62714 
    2.87551e-6      3.63651 
    2.88585e-6      3.66434 
    2.89653e-6      3.71208 
    2.90787e-6      3.78399 
    2.91921e-6      3.87836 
    2.93025e-6      3.99313 
    2.94113e-6      4.13054 
    2.95201e-6      4.29492 
    2.96287e-6      4.48962 
    2.97373e-6      4.72008 
    2.98097e-6      4.89669 
     2.9882e-6      5.09433 
    2.99544e-6      5.31569 
    3.00268e-6      5.56386 
    3.00992e-6       5.8424 
    3.01715e-6      6.15535 
    3.02439e-6      6.50724 
    3.03163e-6      6.90307 
    3.03887e-6      7.34819 
    3.04466e-6      7.74347 
    3.05045e-6      8.17656 
    3.05624e-6         8.65 
    3.06203e-6      9.16582 
    3.06886e-6      9.83041 
    3.07569e-6      10.5559 
    3.08375e-6      11.4872 
     3.0943e-6       12.805 
    3.11414e-6      15.3961 
    3.12283e-6      16.4454 
    3.12862e-6      17.0679 
    3.13433e-6      17.5988 
    3.13978e-6      18.0104 
    3.14524e-6       18.317 
    3.15069e-6      18.5075 
    3.15623e-6      18.5755 
    3.16184e-6      18.5138 
    3.16746e-6      18.3235 
    3.17307e-6      18.0124 
    3.17869e-6      17.5927 
    3.18447e-6      17.0634 
    3.19025e-6      16.4545 
    3.19796e-6      15.5546 
    3.21945e-6      12.8774 
    3.22937e-6      11.7141 
    3.23598e-6      10.9984 
    3.24222e-6      10.3743 
    3.24846e-6      9.80242 
     3.2547e-6      9.28306 
    3.26093e-6      8.81505 
    3.26755e-6      8.37242 
    3.27416e-6      7.98149 
    3.28078e-6      7.63838 
    3.28739e-6      7.33917 
    3.29344e-6      7.10074 
    3.29949e-6      6.89309 
    3.30856e-6      6.63399 
    3.31768e-6       6.4303 
    3.32683e-6      6.27725 
    3.33598e-6      6.17068 
    3.34495e-6       6.1079 
    3.35392e-6      6.08403 
    3.36261e-6      6.09679 
    3.37131e-6      6.14455 
    3.38019e-6      6.22996 
    3.38944e-6      6.35989 
     3.3987e-6      6.53438 
    3.40795e-6      6.75759 
     3.4172e-6      7.03524 
    3.42337e-6      7.25426 
    3.42948e-6      7.50131 
    3.43554e-6       7.7788 
     3.4416e-6       8.0926 
